depth,sender,receiver,amount,symbol,sender_type,sender_annotation,receiver_type,receiver_annotation,token,token_type,token_id
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0xb503105062bbe0c81920b0b1ea5ac010d975d0e6,7149.000000000001,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x19369043b33a59eb3b0ae4de685dfef09f9bfc07,2121.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x91fc71b0cf81a0eb689164377a18d8ba54802f90,1857.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x65cad6cf879bb7449bfdd5c5f92f4a2aa92de849,1238.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x0d96c9d6147dce3bf7c6043514aaaa03070c4c74,750.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x85aa327acd26ba75f02088c720dcf13f5c098a66,600.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x2271c09ef4b0403be5fb0af590e1ad8a12ce4afd,371.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x4a5f273105abb6bbdae9876a875474dd541aae7c,370.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x856c5f3ab94a0d7c8f835d2ee4fdd38ad4f9c21a,350.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x275afa94974326890da42304cd910fb3437d84be,309.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0xed62788a6b2f2d442ec5136a10b75c7d046e391e,300.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x1c94196aebf5ce434f1932137151cd72b51835e8,286.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0xdb2a605e03818db5c4fd9f5968fcbb3c76d9516f,280.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0xc31228302a1c6f2c6c678aa1dd43037d2c1d47e2,60.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0xc4b5365ba33d8b8040ebde80579135a38fcde332,15.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x8fba857a687a9705b69431e08c72a8ccc43687dc,9.9,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0xaae90f1f1492da4c6cc4e156e4b2bccc09c9720f,5.1,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x91c62d0a5cb7f2bf08dafdc4fdad9a4e2c5f1d5f,0.8,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x31bc8894b706f0cb8d259783eec537bdd5aaff4a,0.1,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,0x3841d96d7ae5dacf4f8893266df757be4806b5fe,100.0,blockwell.ai KYC Casper Token,Wallet,"",Wallet,"",0x212d95fccdf0366343350f486bda1ceafc0c2d63,ERC20,0
2,0x19369043b33a59eb3b0ae4de685dfef09f9bfc07,0xfa52274dd61e1643d2205169732f29114bc240b3,2121.0,ETH,Wallet,"",Smart Contract,"Kraken 5, Exchange, Kraken_5, Exchange Wallet, Kraken",0x0000000000000000000000000000000000000000,"",0
2,0x91fc71b0cf81a0eb689164377a18d8ba54802f90,0xfa52274dd61e1643d2205169732f29114bc240b3,1856.9970287176188,ETH,Wallet,"",Smart Contract,"Kraken 5, Exchange, Kraken_5, Exchange Wallet, Kraken",0x0000000000000000000000000000000000000000,"",0
2,0x0d96c9d6147dce3bf7c6043514aaaa03070c4c74,0x7071f121c038a98f8a7d485648a27fcd48891ba8,749.998551,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0x85aa327acd26ba75f02088c720dcf13f5c098a66,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,599.9939999999999,ETH,Wallet,"",Wallet,"Exchange, Binance, Binance_1, Exchange Wallet, Binance 1",0x0000000000000000000000000000000000000000,"",0
2,0xb503105062bbe0c81920b0b1ea5ac010d975d0e6,0x7f3581f5a8743fd9079fad7193f42908c4aa8071,498.12000035,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0xb503105062bbe0c81920b0b1ea5ac010d975d0e6,0x8e2d70cf67252de29f1b2400443d0bbaac028ea1,388.88266655999945,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0x4a5f273105abb6bbdae9876a875474dd541aae7c,0xbf151b41bb24810f27abd659ce4aa2bf06be15d6,370.0,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0x856c5f3ab94a0d7c8f835d2ee4fdd38ad4f9c21a,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,349.994,ETH,Wallet,"",Wallet,"Exchange, Binance, Binance_1, Exchange Wallet, Binance 1",0x0000000000000000000000000000000000000000,"",0
2,0x65cad6cf879bb7449bfdd5c5f92f4a2aa92de849,0x7f3581f5a8743fd9079fad7193f42908c4aa8071,314.10028543,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0xed62788a6b2f2d442ec5136a10b75c7d046e391e,0xfa52274dd61e1643d2205169732f29114bc240b3,299.999895314188,ETH,Wallet,"",Smart Contract,"Kraken 5, Exchange, Kraken_5, Exchange Wallet, Kraken",0x0000000000000000000000000000000000000000,"",0
2,0xb503105062bbe0c81920b0b1ea5ac010d975d0e6,0x362c89a6d8a1597ff41eb03e1e897d0d95827c54,189.6864948599998,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0xb503105062bbe0c81920b0b1ea5ac010d975d0e6,0x010d2081a56cc3976693a6b614339427138c774e,180.91093734999995,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0x1c94196aebf5ce434f1932137151cd72b51835e8,0x7f3581f5a8743fd9079fad7193f42908c4aa8071,145.61947029000004,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0xdb2a605e03818db5c4fd9f5968fcbb3c76d9516f,0x7f3581f5a8743fd9079fad7193f42908c4aa8071,135.76738058999996,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0x65cad6cf879bb7449bfdd5c5f92f4a2aa92de849,0xd3d1b63b6e555e31785c5e8099f88628af819013,133.01212065999997,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0x275afa94974326890da42304cd910fb3437d84be,0x7f3581f5a8743fd9079fad7193f42908c4aa8071,124.78382975,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0x2271c09ef4b0403be5fb0af590e1ad8a12ce4afd,0x7f3581f5a8743fd9079fad7193f42908c4aa8071,122.82000120999992,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0xb503105062bbe0c81920b0b1ea5ac010d975d0e6,0x65cad6cf879bb7449bfdd5c5f92f4a2aa92de849,102.683852062,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0xb503105062bbe0c81920b0b1ea5ac010d975d0e6,0x8861de275184eb85008e0ee9504497bef2091694,75.84469182000002,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
2,0xb503105062bbe0c81920b0b1ea5ac010d975d0e6,0xb2c441cae32710b1609ee306fa7c8f531094f004,74.38127434999988,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
